RestaurantID,Cuisine,NumberOfReviews,Rating
F2KRHRtnIAZJezs9UC2u6w,Chinese,42,3
rkeH5HJIuX7ZcOaYNum9xA,Chinese,137,3.5
ovOupYdkZOWUeDMOdt--ng,Chinese,261,4
zYoL-o9YJpGTwJ-Gmj8AFA,Chinese,225,3
3Rah-cvFk79duFQ83voQ5A,Chinese,208,4
AbfZkSRMtiHE3naWrN-0Eg,Chinese,39,3.5
akWRnF0VFJLJD4uOnGWB-g,Chinese,17,4
B3i4zs5wquFu1UZyzYJ-bQ,Chinese,1749,3.5
ev6e12vhY_0y4qE1cRhv0A,Chinese,819,4
a2sxaQooPmq9r7Cc-Umunw,Chinese,227,3.5
SNDUD4LFjVHWwrdAkokxRg,Chinese,56,4
MXYtu8-0eNkW6L4firJfcw,Chinese,228,3
Cj1RTtW3zZF_eDqYRZBMYQ,Chinese,17,3.5
sgKNAn72O2XMQXS6AWmf9w,Chinese,74,4
5sG_S51rleFhCKLgQpXc_g,Chinese,53,3.5
J_CmfwKnzYbfRHvncl7uVA,Chinese,12,4
AeLz0uoZH3hxmkcXlwUIGg,Chinese,83,3
LYp3izplqg0x-h9CBlb-MQ,Chinese,185,2.5
IQ5i53Mt-xFE73eJZZMt-A,Chinese,1,5
nXh79laNQ7leN92F5Ore-Q,Chinese,28,4
svvP8Thiit_8TX-Lfeecrw,Chinese,48,3
rJeh77RIvtmISisvVoy6TA,Chinese,105,3
ziwipi8JK_ik4mLaw1fTGw,Chinese,30,3.5
kWJF8L1u5jdlkLBItUu16w,Chinese,630,3.5
b7uTP_afs5Gkf66K7yDl-w,Chinese,10,4.5
dpCSDy9uefOEcY44FHss2Q,Chinese,357,3.5
gqUR7hd3NsxOD_JrD-iFfQ,Chinese,7,4
SyvC0s3y0ZrtnLbwnvw7tw,Chinese,1094,3.5
6gE9N5wD4K-bbmSEBm7Lhw,Chinese,45,3.5
MzA6gitJKqfW4VrdS7AiQw,Chinese,47,4.5
B3_K2kUVbYOU0VaLcj_LTw,Chinese,1439,4.5
FVfQVQAcGDVFaBlrFaLkUg,Chinese,18,3.5
GMICEb3dqMcVftIHzh1DiQ,Chinese,58,4
MhceeLrM2_3mcKw5EGLY6A,Chinese,2144,4
pb_cHcy8D8UC-jQ-Q524ug,Chinese,80,4
RTFIMX31BPeZzx7kJJ1SCA,Chinese,575,3.5
2rSmA4IK51QAQj60YGvjnw,Chinese,12,4.5
VpInBiE272MaN1Hi0DA-Zw,Chinese,163,4
Tb4aUIIy74xG9wLDEwpxdw,Chinese,172,3.5
fPW_GBZsnBNsIzK62sCHBg,Chinese,825,4
bSi2f2TaOr4RVTI5eFt0wQ,Chinese,170,3
#NAME?,Chinese,1616,4.5
Xr8jXXafb0tG5oAoS07Jbg,Chinese,17,4.5
j9LAlbSiqGlvfAOt8LRRzQ,Chinese,49,2.5
x_t-FtDa5HVgc-wecp0HBg,Chinese,2019,3.5
oFBgvlELwMtvqA0gcGr96g,Chinese,46,3.5
ECKMWJwm_sihRQIP1ydeOA,Chinese,32,3
owKe1hapqCCLnme2Xr3mrA,Chinese,54,3.5
6kBMtBA9opJxZv01fiAnvg,Chinese,18,4.5
O2jCWIOWb-IhyZGZLTNNoA,Chinese,18,3.5
jpK6MMfLJwLXCzTeywyNNA,Chinese,164,3.5
5u4T6-Z-KhHrRZ9g54pugQ,Chinese,21,4
entLjafiBAYOvbJYHRvyrw,Chinese,17,3
pmJqb7-EckluXUk6Rtml6A,Chinese,71,3
J9kON4T_XtDPDk6jRoR5xA,Chinese,51,3
#NAME?,Chinese,121,4
kYJbGSjyXocbRrgMV-zExg,Chinese,104,3
dSaMEWm0EQTG4TOeUetU5w,Chinese,104,3
2dmgtQTFM7koKllEQsZmhQ,Chinese,13,3
51DwJDP5TOlsCQYc0GQdVQ,Chinese,50,3
PUwrkoUztUYs4VdHlK9qBg,Chinese,46,3
_XLLSXPIjgoZQtwU3RCcQA,Chinese,255,4
4XXzwYA8Ng1pOLSov_srDg,Chinese,11,3.5
Yo6D3B8TP_xdN1yaoNc0Ww,Chinese,29,3.5
nrsWSUJdNtOhV2UzPi-oOQ,Chinese,20,3
WgQkB7cbPNgj0pLin7gQtw,Chinese,70,3
JjzCmRn3q8JrlwHx8nFhAA,Chinese,84,4
QFjyGK3DtTGJ9-g8E7ofCw,Chinese,12,3.5
xH7mEjh4Rn6KdHjXYNoOjw,Chinese,551,4
aije_BqBVVl-6T13QsnRqQ,Chinese,156,3.5
5uTJ_4fWfT1ImuwCLN9xGA,Chinese,309,3
BkXb82Y2OIsQ5RpNNQOYmQ,Chinese,89,4
b03GEE_pYlLCdD6yShZKqw,Chinese,9,4
TxaxeiUqQqcFrWrerNqgXw,Chinese,33,2.5
Aeiyyowii5GBL9Y-SjTxvg,Chinese,14,4
bAPDGHHaLZs-XEFk7ZXGVA,Chinese,139,3.5
f7QVr9xC8UWXdVz9QvbmNg,Chinese,49,5
Te2iLepC0UrJRzVKexFukQ,Chinese,704,3
bGOZTD9O00OkVA1Pkt3OuQ,Chinese,261,3.5
fgGRIM0b9JGIoNOAnHzROQ,Chinese,23,4.5
rGuXwUtNoDp0_GmspjYwcA,Chinese,456,3.5
HnTcWZbZJzNAYO8YseQlSQ,Chinese,138,4.5
z2ffmGBEhNUrmYEAWGx1Vw,Chinese,5,5
DpfE0gPBXj-aj2pnEh4E2Q,Chinese,101,4
s_N9uqqUqjgL7O-bHKZ80w,Chinese,14,4
55jx0bYJ-odyqKKSrDXtPA,Chinese,77,4
RCzBcrOgc2ZWzXmkdmb6QA,Chinese,18,4
4-03VyMoFlXipCKh-aQcoA,Chinese,33,3.5
bRL9IQG2gpdAAEcaa8V0Qg,Chinese,62,4.5
U0EJ4URMoFHJEzAkMp4WWQ,Chinese,123,2.5
Qd4LleGL1MU7hcBYXcyVSA,Chinese,27,4
qH8PVeddtVs9cKN2pwgdkQ,Chinese,77,3.5
#NAME?,Chinese,112,4.5
EVQQ1Fs1YNlKd4HuxmzlJQ,Chinese,12,3
wjhtsakYuglCXwPaUFN4-g,Chinese,47,4
d6i6sGHtPmyUkHze5S1lIQ,Chinese,23,4.5
gAugxpTjPNbMK86dvXirJQ,Chinese,24,4
dhR4FMfoN0-MT5JOs7B-5g,Chinese,48,4.5
JRSAnPCs3jgiRVvE9j2S7g,Chinese,60,3
6LfskUyZzmcDSV6h5kOwGw,Chinese,711,3.5
L2ZW-MdvRJ3gM2RIq8STbA,Chinese,98,4
vQe7_ZW_jBSWKtgSiXGIOA,Chinese,449,4
etU9gCufydWxkm44Y_esyA,Chinese,23,4.5
gvAzBcK3YZf6UQqOerqF2w,Chinese,1,5
rCCZWRpuzW3FhAHN2BB1Eg,Chinese,317,4
EDLKX7cCxPbmbmo1XG3xJQ,Chinese,415,3
